Product Code,Name,Field,Length,Full value
MSLBSE03,Abductor & Adductor Machine Elite (Selectorize),Warranty,164,"(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months"
RSWBFW02,Adjustable Utility Weight Bench Pro,Warranty,90,"(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
SSWBFW02,Adjustable Utility Weight Bench Pro,Warranty,90,"(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
MSWBFW02,Adjustable Utility Weight Bench Pro,Warranty,90,"(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
MCTMSP02,Curved Treadmill Elite,Warranty,52,"5 Years Frame, 3 Years Moving Parts, 2 Years Console"
MCTMSP01,Curved Treadmill Pro,Warranty,52,"5 Years Frame, 3 Years Moving Parts, 2 Years Console"
SSWBFW01,Flat Utility Weight Bench Pro (Angled Legs),Warranty,90,"(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
RSWBFW01,Flat Utility Weight Bench Pro (Angled Legs),Warranty,90,"(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
MSWBFW01,Flat Utility Weight Bench Pro (Angled Legs),Warranty,90,"(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
MSCMDU01,Functional Trainer Pro,Warranty,146,"(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics- 3 months"
MSLBSE04,Hip Thrust Machine Elite (Selectorize),Warranty,164,"(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months"
MSBMSE04,Lat Pulldown & Seated Row Machine Elite (Selectorize),Warranty,164,"(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months"
MSLBSE05,Leg Extension & Leg Curl Machine Elite (Selectorize),Warranty,164,"(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months"
MSLBSE01,Leg Extension Machine Elite (Selectorize),Warranty,164,"(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months"
SMPA5BL02,Medicine Balls (Set of 5) - 30kg,Colour,61,"Black/Blue, Black/Yellow, Black/Grey, Black/Red, Black/Purple"
MMPA5BL02,Medicine Balls (Set of 5) - 30kg,Colour,61,"Black/Blue, Black/Yellow, Black/Grey, Black/Red, Black/Purple"
MSCSSE04,Multi Press Machine Elite (Selectorize),Warranty,164,"(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months"
MSCSSE01,Shoulder Press Machine Elite (Selectorize),Warranty,164,"(1) Frame- 5 years (2) Blocks, pulleys, plates, rods- 3 years (3) Foam, bearings, coatings- 1 year (4) Cables- 6 months (5) Hardware, plastics, upholstery- 3 months"
MSBMPL01,T-Bar Row Machine Pro (Incline),Warranty,90,"(1) Frame- 5 years (2) Foam, coatings- 1 year (3) Hardware, plastics, upholstery- 3 months"
