rule,kind,sku_or_slug,product,group,price,needs_or_lost,erp_has,erp_twin,twin_price
erp-catalogue,lost-sizes,push-pull-sled,Push & Pull Sled,Mixed Implements,495,MMSLSL01 (1/2 kept),,,
erp-catalogue,lost-sizes,vertical-dumbbell-rack-10-pair-double-sided-2-0,Vertical Dumbbell Rack,Equipment Storage,470,MEFSDB01 MEFSDB06 (6/8 kept),,,
erp-catalogue,withheld,linear-led-lighting-system,Linear LED Lighting System,Lighting,445,NBLLE2501,,,
erp-catalogue,lost-sizes,olympic-plate-toaster-rack-portable,Olympic Plate Toaster Rack Portable,Equipment Storage,445,MEFSOP01 (1/2 kept),,,
erp-catalogue,withheld,concept-2-ski-erg-floor-stand,CONCEPT 2 - Ski Erg Floor Stand,Cardio,440,C2SKIERGFS,,,
erp-catalogue,withheld,chrome-110-dumbbells-1kg-7kg-pairs,Chrome 110 Dumbbells (1kg-7kg Pairs),Mixed Implements,431.2,MMPACE103,,,
erp-catalogue,lost-sizes,group-fitness-barbell-set-rack,Group Fitness Barbell Set Rack,Equipment Storage,395,MEFSPS01 (1/2 kept),,,
erp-catalogue,withheld,retail-rack,Retail Rack,Equipment Storage,385,MERK153001,,,
erp-catalogue,withheld,barbell-storage-box-12-bar-holder,Barbell Storage Box (12 Bar Holder),Equipment Storage,345,MEFRBB06,,,
erp-catalogue,lost-sizes,3-in-1-foam-plyometric-box-34kg,3-In-1 Foam Plyometric Box,Body Weight,330,MBPB3I103 (1/2 kept),,,
erp-catalogue,lost-sizes,core-trainer-landmine-with-t-bar-handle,Core Trainer (Landmine) With T Bar Handle,Body Weight,325,MBCTDR02 (1/2 kept),,,
erp-catalogue,lost-sizes,group-fitness-step-6-risers,Group Fitness Step (6 Risers),Mixed Implements,285,MBGFSTP03 (1/2 kept),,,
erp-catalogue,withheld,barbell-storage-box,Barbell Storage Box,Equipment Storage,280.01,MEFSBB04,,,
erp-catalogue,lost-sizes,group-fitness-step-adjustable,Group Fitness Step (Adjustable),Mixed Implements,275,MBGFSTP01 (1/2 kept),,,
erp-catalogue,withheld,ski-trainer-floor-stand-2,Ski Trainer Floor Stand,Cardio,269,MCSTACC01,,,
erp-catalogue,lost-sizes,medicine-ball-rack-5-ball-single-sided,Medicine Ball Rack,Equipment Storage,205,MEFSBL03 MEFSBL01 (3/5 kept),,,
erp-catalogue,lost-sizes,power-bands-pack-of-8,Power Bands (Pack of 8),Body Weight,195,MBRPBA03 (1/2 kept),,,
erp-catalogue,withheld,power-grip-cable-attachment-set-5,Power Grip Cable Attachment Set (5),Strength,185,MSCMATT01,,,
erp-catalogue,lost-sizes,urethane-fixed-dumbbells-2,PU Dumbbells (Pair),Mixed Implements,176,MMDBUR20 MMDBUR21 MMDBUR22 MMDBUR23 MMDBUR18 MMDBUR25 MMDBUR26 MMDBUR27 MMDBUR28 (19/28 kept),,,
erp-catalogue,withheld,olympic-urethane-weight-plates-4-grip,Olympic Urethane Weight Plates (4 Grip),Weightlifting,135,MWWPOU10 MWWPOU13,,,
erp-catalogue,withheld,urethane-fixed-dumbbells-pair,Urethane Fixed Dumbbells (Pair),Mixed Implements,132,MMDBUR19,,,
erp-catalogue,lost-sizes,power-bands-pack-of-4,Power Bands (Pack of 4),Body Weight,120,MBRPBA02 (1/2 kept),,,
erp-catalogue,withheld,climbing-rope,Climbing Rope,Mixed Implements,110,MMBRNC02,,,
erp-catalogue,withheld,olympic-dumbbell-handles-pair,Olympic Dumbbell Handles (Pair),Mixed Implements,109,MMDBOH01,,,
erp-catalogue,withheld,cable-pulley-system,Cable Pulley System,Strength,95,MSCMATT02,,,
erp-catalogue,lost-sizes,urethane-fixed-barbells-2,Fixed PU Straight Barbell,Weightlifting,90,MWBBFUR13 MWBBFUR14 MWBBFUR15 MWBBFUR16 MWBBFUR17 MWBBFUR18 MWBBFUR19 (7/14 kept),,,
erp-catalogue,withheld,squat-wedge-block,Squat Wedge Block,Weightlifting,85,MWWLRR01,,,
erp-catalogue,withheld,station-markets-set-of-20,Station Markets (Set of 20),Body Weight,80,MBSADO03,,,
erp-catalogue,lost-sizes,urethane-competition-kettlebell-3,Urethane Competition Kettlebell,Mixed Implements,80,MMKBUR07 MMKBUR08 MMKBUR09 MMKBUR10 (6/10 kept),,,
erp-catalogue,withheld,storage-pin-with-shoulder,Storage Pin with Shoulder,Rigs & Racks,75,MRATTACC01,,,
erp-catalogue,lost-sizes,power-bag-2,Power Bag,Mixed Implements,70,MMPWPBG06 MMPWPBG07 (4/6 kept),,,
erp-catalogue,lost-sizes,rope-band-rack-wall-mounted,Rope & Band Rack (Wall Mounted),Equipment Storage,70,MEWMRO02 (1/2 kept),,,
erp-catalogue,withheld,wall-mounted-rope-and-band-rack,Wall Mounted-Rope & Band Rack,Equipment Storage,70,MEWMRO 02,,,
erp-catalogue,lost-sizes,urethane-fixed-barbells,Urethane Fixed Barbells,Weightlifting,67.5,MWBBFUR11 (4/5 kept),,,
erp-catalogue,withheld,impact-lock-rubber-tiles,Impact-Lock Rubber Tiles,Flooring,65,NBFRFRR01 NBFRFRR02 NBFRFRR03 NBFRFRR04,,,
erp-catalogue,withheld,pro-bumper-plates,Pro Bumper Plates,Weightlifting,64,MWWPCNB06 MWWPCNB07 MWWPCNB08 MWWPCNB09 MWWPCNB10,,,
erp-catalogue,withheld,wall-mounted-exercise-mat-hanging-rack,Wall Mounted-Exercise Mat Hanging Rack,Equipment Storage,50,MEWMMA 01,,,
erp-catalogue,withheld,fixed-pu-curl-barbell,Fixed PU Curl Barbell,Weightlifting,45,MWBBFUR20 MWBBFUR21 MWBBFUR22 MWBBFUR23 MWBBFUR24 MWBBFUR25 MWBBFUR26 MWBBFUR27 MWBBFUR28 MWBBFUR29 MWBBFUR30 MWBBFUR31 MWBBFUR32 MWBBFUR33 MWBBFUR34 MWBBFUR35 MWBBFUR36 MWBBFUR37 MWBBFUR38,,,
erp-catalogue,withheld,led-dimmer,LED Dimmer,Lighting,45,NBLLE2502,,,
erp-catalogue,withheld,wall-mounted-battle-rope-storage,Wall Mounted-Battle Rope Storage,Equipment Storage,45,MEWMRO 01,,,
erp-catalogue,lost-sizes,medicine-ball-2,Medicine Ball,Mixed Implements,44,MMMBPR 03 (5/6 kept),,,
erp-catalogue,lost-sizes,high-grip-dead-ball-4,High Grip Dead Ball,Mixed Implements,40,MMDEHG09 MMDEHG11 MMDEHG16 MMDEHG17 (12/16 kept),,,
erp-catalogue,withheld,weightlifting-belt-2,Weightlifting Belt,Weightlifting,35,MWWAACC01,,,
erp-catalogue,lost-sizes,foam-roller-v,Foam Roller,Body Weight,33,MBRMRL04 (3/4 kept),,,
erp-catalogue,withheld,acoustic-underlay-1m-x-10m,Acoustic Underlay (1m x 10m),Flooring,30.5,NBFAFRR01 NBFAFRR02 NBFAFRR03 NBFAFRR04,,,
erp-catalogue,withheld,fitness-ball,Fitness Ball,Body Weight,30,MBCT5501 MBCT6501 MBCT7501,,,
erp-catalogue,withheld,pilates-ring,Pilates Ring,Mixed Implements,30,MMPILFG01,,,
erp-catalogue,lost-sizes,change-plates,Change Plates,Weightlifting,26,MWWPCP03 MWWPCP04 MWWPCP05 MWWPCP06 (2/6 kept),,,
erp-catalogue,lost-sizes,speed-rope-elite,Speed Rope (Elite),Body Weight,25,MBSAROL01 (1/2 kept),,,
erp-catalogue,withheld,technique-training-pipe,Technique/Training Pipe,Weightlifting,25,MWWLPVC01,,,
erp-catalogue,withheld,agility-dots-set-of-5,Agility Dots (Set of 5),Body Weight,20,MBSADO01,,,
erp-catalogue,withheld,power-bands,Power Bands,Body Weight,12,MBRPPO06 MBRPPO07 MBRPPO08,,,
erp-catalogue,withheld,olympic-pu-weight-plates-4-grip,Olympic PU Weight Plates (4 Grip),Weightlifting,11.25,MWWPOU08 MWWPOU11 MWWPOU14 MWWPOU09 MWWPOU12,,,
erp-catalogue,withheld,micro-bands,Micro Bands,Body Weight,6,MBRPPO03 MBRPPO04 MBRPPO05,,,
erp-catalogue,withheld,premium-rubber-hex-dumbbell-3,Premium Rubber Hex Dumbbell,Mixed Implements,5,MMDBPRH01 MMDBPRH02 MMDBPRH04 MMDBPRH05 MMDBPRH06 MMDBPRH07 MMDBPRH08 MMDBPRH10 MMDBPRH11 MMDBPRH12 MMDBPRH13 MMDBPRH14 MMDBPRH15 MMDBPRH16 MMDBPRH17 MMDBPRH18 MMDBPRH19 MMDBPRH20 MMDBPRH21 MMDBPRH22 MMDBPRH23 MMDBPRH24 MMDBPRH25 MMDBPRH26,,,
erp-catalogue,withheld,rubber-hex-dumbbell-group,Rubber Hex Dumbbell,Mixed Implements,5,MMDBRH01 MMDBRH02 MMDBRH03 MMDBRH04 MMDBRH05 MMDBRH06 MMDBRH07 MMDBRH08 MMDBRH09 MMDBRH10 MMDBRH11 MMDBRH12 MMDBRH13 MMDBRH14 MMDBRH15 MMDBRH16 MMDBRH17 MMDBRH18 MMDBRH19 MMDBRH20 MMDBRH21 MMDBRH22 MMDBRH23 MMDBRH24 MMDBRH25 MMDBRH26,,,
erp-catalogue,withheld,cotton-inners,Cotton Inners,Mixed Implements,1,MMBXG01,,,
snapshot-clearance,duplicate-url,SCRWAR04,C2 Rower Model D PM5 Black,Rowers,1250,height,nothing,concept-2-row-erg-with-standard-legs,1705
snapshot-clearance,duplicate-url,SCSTAR03,C2 Ski Erg PM5,Cardio / Ski Trainer,1200,height,nothing,concept-2-ski-erg-with-pm5,1650
snapshot-clearance,adopted-slug,MWPA15001,Coloured Bumper Plates (Set of 10) - 150kg,Packages / Weight Plates,882,"weight, length, width, height",nothing,coloured-bumper-plates-set-of-10-150kg,860
snapshot-clearance,adopted-slug,MWPA14001,Coloured Bumper Plates (Set of 8) & 2.5kg Change Plates - 145kg,Packages / Weight Plates,876,"weight, length, width, height",nothing,coloured-bumper-plates-set-of-8-2-5kg-change-plates-145kg,858
snapshot-clearance,adopted-slug,MWPA10002,Competition Bumper Plates (Set of 8) - 100kg,Packages / Weight Plates,840,"weight, length, width, height",nothing,competition-bumper-plates-set-of-8-100kg,1200
snapshot-clearance,adopted-slug,MWPAFRU02,Rubber Fixed Barbells (Set of 5 Bars) & Rack,Barbells / Packages,731,"weight, length, width, height",nothing,rubber-fixed-barbells-set-of-5-bars-rack,1170
snapshot-clearance,adopted-slug,MWPA10001,Coloured Bumper Plates (Set of 8) - 100kg,Packages / Weight Plates,592,"weight, length, width, height",nothing,coloured-bumper-plates-set-of-8-100kg,600
snapshot-clearance,adopted-slug,MWPA15003,Olympic Premium Rubber Weight Plates (3 Grip) (Set of 10) - 150kg,Packages / Weight Plates,570,"weight, length, width, height",nothing,olympic-premium-rubber-weight-plates-3-grip-set-of-10-150kg,840
snapshot-clearance,adopted-slug,MWPA9001,Coloured Bumper Plates (Set of 6) - 90kg,Packages / Weight Plates,522,"weight, length, width, height",nothing,coloured-bumper-plates-set-of-6-90kg,510
snapshot-clearance,adopted-slug,MRSPFW03,Olympic Power Rack 2.0 Weight Plate Storage Rack Only,Rigs &amp; Racks / Squat &amp; Power Racks / Squat &amp; Power Racks / Strength,470,"length, width, height",58kg,olympic-power-rack-2-0-weight-plate-storage-rack-only,779
snapshot-clearance,adopted-slug,MWPA10003,Olympic Premium Rubber Weight Plates (3 Grip) (Set of 8) - 100kg,Packages / Weight Plates,380,"weight, length, width, height",nothing,olympic-premium-rubber-weight-plates-3-grip-set-of-8-100kg,560
snapshot-clearance,withheld,SCSTACC04,C2 Ski Erg Floor Stand,Cardio / Ski Trainer,320,height,nothing,,0
snapshot-clearance,withheld,MCSTACC01,Ski Trainer Floor Stand,Cardio / Ski Trainer,262.73,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,AMBXG01,"Cotton Inners (Fingerless, 100 Pair)",Boxing / Clearance / Mixed Implements,90.91,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,ABSADO01,Station Markers (Set of 96) - Numbers,Body Weight / Clearance / Speed &amp; Agility,88.636,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,AMBXSY01,Focus Pads,Boxing / Clearance / Mixed Implements,27.27,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,ABRMRL03,Foam Roller - 45cm (black),Clearance,22.7272,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,MWWAACC01,Weightlifting Belt,Weightlifting / Weightlifting Accessories,19,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,ABSADO02,Station Markers (Set of 15) - Boost,Body Weight / Clearance / Speed &amp; Agility,15.909,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,ABSADO05,Station Markers (Set of 15) - Form,Body Weight / Clearance / Speed &amp; Agility,15.909,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,ABSADO07,Station Markers (Set of 15) - Functional,Body Weight / Clearance / Speed &amp; Agility,15.909,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,ABSADO06,Station Markers (Set of 15) - Hero,Body Weight / Clearance / Speed &amp; Agility,15.909,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,ABSADO04,Station Markers (Set of 15) - Neural,Body Weight / Clearance / Speed &amp; Agility,15.909,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,ABSADO03,Station Markers (Set of 15) - Rep,Body Weight / Clearance / Speed &amp; Agility,15.909,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,ABSADO08,Station Markers (Set of 15) - Sherpa,Body Weight / Clearance / Speed &amp; Agility,15.909,"weight, length, width, height",nothing,,0
snapshot-clearance,withheld,ABRPPO,Power Bands,Body Weight / Clearance / Resistance &amp; Power Bands,8,"weight, length, width, height",no ERP record,,0
snapshot-clearance,withheld,MMDBRH-GROUP,Rubber Hex Dumbbells,Dumbbells / Dumbbells / Mixed Implements / Packages,4.55,"weight, length, width, height",no ERP record,,0
snapshot-clearance,withheld,AMDBRH,Rubber Hex Dumbbells,Clearance / Dumbbells / Mixed Implements,3,"length, width, height",no ERP record,,0
