ref,to_suburb,to_state,to_postcode,destination_type,parcels,weight_per_parcel_kg,total_weight_kg,dimensions_per_parcel_cm,sku,contents,why_this_example
MK-01,"Sydney",NSW,2000,"Metro",1,1,1,"33 x 14 x 14","MBRMRL03","Foam Roller - 33cm (TPT) x1","Lightest end of the range, single small accessory"
MK-02,"Melbourne",VIC,3000,"Metro",2,3,6,"43 x 8 x 8","ABCTDR01","Drop In Core Trainer x2","Small accessory, two units"
MK-03,"Brisbane",QLD,4000,"Metro",1,6,6,"23 x 23 x 9","MBSUTR01","Suspension Trainer x1","Lower quartile by weight"
MK-04,"Perth",WA,6000,"Metro",1,12,12,"200 x 28 x 10","MEWMBL01","Fitness Ball Storage Rack (Wall Mounted) x1","Below median"
MK-05,"Adelaide",SA,5000,"Metro",1,18,18,"166 x 55 x 53","MEFRBL02","Medicine Ball Rack - 10 Ball (Single Sided) x1","Median product weight (16kg)"
MK-06,"Canberra",ACT,2600,"Metro",4,18,72,"166 x 55 x 53","MEFRBL02","Medicine Ball Rack - 10 Ball (Single Sided) x4","Median product, multi-unit order (4 cartons)"
MK-07,"Hobart",TAS,7000,"Metro (island)",1,34,34,"146 x 71 x 19","MEFRPS01","Group Fitness Barbell Set Rack x1","Above median"
MK-08,"Darwin",NT,0800,"Remote",1,53,53,"90 x 80 x 14","MEFRKB02","Kettlebell Rack (2 Tier) 3.0 x1","Upper quartile (51kg) - past most parcel limits"
MK-09,"Cairns",QLD,4870,"Regional",3,53,159,"90 x 80 x 14","MEFRKB02","Kettlebell Rack (2 Tier) 3.0 x3","Upper quartile, three cartons on one consignment"
MK-10,"Townsville",QLD,4810,"Regional",1,87,87,"138 x 23 x 31","MMPA8001","Competition Kettlebells (Set of 5) - 80kg x1","Heavy single item"
MK-11,"Albury",NSW,2640,"Regional",1,136,136,"250 x 50 x 30","MEFRDB09","Horizontal Dumbbell Rack - 3 Tier (15 Pair) x1","90th percentile (136kg) - pallet territory"
MK-12,"Bendigo",VIC,3550,"Regional",1,300,300,"63 x 42 x 56","MMPA25001","Competition Kettlebells (Set of 12) - 250kg & Rack x1","Very heavy single item"
MK-13,"Coffs Harbour",NSW,2450,"Regional",1,450,450,"240 x 85 x 55","MRSPSE01","All-In-One Trainer x1","Heaviest product we sell"
MK-14,"Mount Gambier",SA,5290,"Regional",1,112,112,"268 x 84 x 30","MEFRDB11","Horizontal Dumbbell Rack - 2 Tier (10 Pair) 2.0 x1","Longest carton - oversize handling"
MK-15,"Kalgoorlie",WA,6430,"Remote",6,26,156,"182 x 13 x 23","MMFWTL01","Farmers Walk Handles (Pair) x6","Bulk order, six cartons (typical gym fitout line)"
